order,id,date,time,title,url,visitCount,typedCount,transition
0,27308,5/7/2024,20:35:28,"Discover Typeform, where forms = fun",https://www.typeform.com/explore/?utm_campaign=krJ7Z3&utm_source=typeform.com-4903322-free&utm_medium=typeform&utm_content=typeform-closescreenbutton&utm_term=EN,3,0,link
1,27308,5/7/2024,20:35:28,"Discover Typeform, where forms = fun",https://www.typeform.com/explore/?utm_campaign=krJ7Z3&utm_source=typeform.com-4903322-free&utm_medium=typeform&utm_content=typeform-closescreenbutton&utm_term=EN,3,0,link
2,27308,5/7/2024,20:35:27,"Discover Typeform, where forms = fun",https://www.typeform.com/explore/?utm_campaign=krJ7Z3&utm_source=typeform.com-4903322-free&utm_medium=typeform&utm_content=typeform-closescreenbutton&utm_term=EN,3,0,link
3,27307,5/7/2024,20:35:24,Uninstall Survey,https://form.typeform.com/to/krJ7Z3?typeform-source=useloom.typeform.com,1,0,link
4,27306,5/7/2024,20:35:24,Uninstall Survey,https://form.typeform.com/to/krJ7Z3,1,0,link
5,27305,5/7/2024,20:35:19,This typeform has moved,https://useloom.typeform.com/to/krJ7Z3,1,0,link
6,27303,5/7/2024,20:33:14,accounts.google.com/signin/oauth/consent?authuser=0&part=AJi8hANrG-VZJ-8YlJ77OnE-qM39Wr-bLZg-ygH7vFlQeRAeakF943ZnqeoySYPy48u5phQj9Iak2BbSzEgLbbNYQbfkjLF0CCpmacNpviWpNV7Pv7GMlf5zWx8aV4i-_eNQ0R4uFkdR_qADjgbTY48W_5PVHAWcCCnnRjx6kasRJg8Qw5-PixNRm5LMDneAzBoGJZQuSvp_Ht8GvcBHlcuiPPu6nWBZmOB5eCJ8MtigBFJrrHvTK9fAeEBogUmG6GkgztG4Og9tTT17x_049SE8Dy254Cn5iwvoDGfxUQaGIrqMp5PF0pfpwZHPcCCBBk9xvjq3SnXH43YQvxlTQMXGwyijST6U_h5Nca-7NB5PwyVivLNoMntcCnh1SmGteuY9kVaDtxx_S05yoVPEYsaqpo1RIwStD0o1tSv4sc-bZbDonkrzyoRJ1N1Nyip7R0x2xsmW1cfQo2k-WB9yAEqzm0IF-55rlw&flowName=GeneralOAuthFlow&as=S487346847%3A1715124790285035&client_id=823511539352-ojaretejk1s95sdvkic0te923pt7knpu.apps.googleusercontent.com&pli=1&rapt=AEjHL4PyqJ7O1DGfQkGjlxCpt2b-qWzigGFOdUZhPC8LdRK9-Z1NW2EYAhr-7i37ADGEVKVwB4ZagWQg92s3ms2E8SG2awHyMA#,https://accounts.google.com/signin/oauth/consent?authuser=0&part=AJi8hANrG-VZJ-8YlJ77OnE-qM39Wr-bLZg-ygH7vFlQeRAeakF943ZnqeoySYPy48u5phQj9Iak2BbSzEgLbbNYQbfkjLF0CCpmacNpviWpNV7Pv7GMlf5zWx8aV4i-_eNQ0R4uFkdR_qADjgbTY48W_5PVHAWcCCnnRjx6kasRJg8Qw5-PixNRm5LMDneAzBoGJZQuSvp_Ht8GvcBHlcuiPPu6nWBZmOB5eCJ8MtigBFJrrHvTK9fAeEBogUmG6GkgztG4Og9tTT17x_049SE8Dy254Cn5iwvoDGfxUQaGIrqMp5PF0pfpwZHPcCCBBk9xvjq3SnXH43YQvxlTQMXGwyijST6U_h5Nca-7NB5PwyVivLNoMntcCnh1SmGteuY9kVaDtxx_S05yoVPEYsaqpo1RIwStD0o1tSv4sc-bZbDonkrzyoRJ1N1Nyip7R0x2xsmW1cfQo2k-WB9yAEqzm0IF-55rlw&flowName=GeneralOAuthFlow&as=S487346847%3A1715124790285035&client_id=823511539352-ojaretejk1s95sdvkic0te923pt7knpu.apps.googleusercontent.com&pli=1&rapt=AEjHL4PyqJ7O1DGfQkGjlxCpt2b-qWzigGFOdUZhPC8LdRK9-Z1NW2EYAhr-7i37ADGEVKVwB4ZagWQg92s3ms2E8SG2awHyMA#,2,0,link
7,27303,5/7/2024,20:33:14,accounts.google.com/signin/oauth/consent?authuser=0&part=AJi8hANrG-VZJ-8YlJ77OnE-qM39Wr-bLZg-ygH7vFlQeRAeakF943ZnqeoySYPy48u5phQj9Iak2BbSzEgLbbNYQbfkjLF0CCpmacNpviWpNV7Pv7GMlf5zWx8aV4i-_eNQ0R4uFkdR_qADjgbTY48W_5PVHAWcCCnnRjx6kasRJg8Qw5-PixNRm5LMDneAzBoGJZQuSvp_Ht8GvcBHlcuiPPu6nWBZmOB5eCJ8MtigBFJrrHvTK9fAeEBogUmG6GkgztG4Og9tTT17x_049SE8Dy254Cn5iwvoDGfxUQaGIrqMp5PF0pfpwZHPcCCBBk9xvjq3SnXH43YQvxlTQMXGwyijST6U_h5Nca-7NB5PwyVivLNoMntcCnh1SmGteuY9kVaDtxx_S05yoVPEYsaqpo1RIwStD0o1tSv4sc-bZbDonkrzyoRJ1N1Nyip7R0x2xsmW1cfQo2k-WB9yAEqzm0IF-55rlw&flowName=GeneralOAuthFlow&as=S487346847%3A1715124790285035&client_id=823511539352-ojaretejk1s95sdvkic0te923pt7knpu.apps.googleusercontent.com&pli=1&rapt=AEjHL4PyqJ7O1DGfQkGjlxCpt2b-qWzigGFOdUZhPC8LdRK9-Z1NW2EYAhr-7i37ADGEVKVwB4ZagWQg92s3ms2E8SG2awHyMA#,https://accounts.google.com/signin/oauth/consent?authuser=0&part=AJi8hANrG-VZJ-8YlJ77OnE-qM39Wr-bLZg-ygH7vFlQeRAeakF943ZnqeoySYPy48u5phQj9Iak2BbSzEgLbbNYQbfkjLF0CCpmacNpviWpNV7Pv7GMlf5zWx8aV4i-_eNQ0R4uFkdR_qADjgbTY48W_5PVHAWcCCnnRjx6kasRJg8Qw5-PixNRm5LMDneAzBoGJZQuSvp_Ht8GvcBHlcuiPPu6nWBZmOB5eCJ8MtigBFJrrHvTK9fAeEBogUmG6GkgztG4Og9tTT17x_049SE8Dy254Cn5iwvoDGfxUQaGIrqMp5PF0pfpwZHPcCCBBk9xvjq3SnXH43YQvxlTQMXGwyijST6U_h5Nca-7NB5PwyVivLNoMntcCnh1SmGteuY9kVaDtxx_S05yoVPEYsaqpo1RIwStD0o1tSv4sc-bZbDonkrzyoRJ1N1Nyip7R0x2xsmW1cfQo2k-WB9yAEqzm0IF-55rlw&flowName=GeneralOAuthFlow&as=S487346847%3A1715124790285035&client_id=823511539352-ojaretejk1s95sdvkic0te923pt7knpu.apps.googleusercontent.com&pli=1&rapt=AEjHL4PyqJ7O1DGfQkGjlxCpt2b-qWzigGFOdUZhPC8LdRK9-Z1NW2EYAhr-7i37ADGEVKVwB4ZagWQg92s3ms2E8SG2awHyMA#,2,0,link
8,27302,5/7/2024,20:33:11,Fazer login nas Contas do Google,https://accounts.google.com/o/oauth2/auth/oauthchooseaccount?client_id=823511539352-ojaretejk1s95sdvkic0te923pt7knpu.apps.googleusercontent.com&scope=https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fdrive%20https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fdrive.install&response_type=none%20gsession&access_type=offline&redirect_uri=storagerelay%3A%2F%2Fhttps%2Faistudio.google.com%3Fid%3Dauth12354&login_hint=111711251173718751488&service=lso&o2v=1&ddm=0&flowName=GeneralOAuthFlow,1,0,link
9,27301,5/7/2024,20:33:11,Fazer login nas Contas do Google,https://accounts.google.com/o/oauth2/auth?client_id=823511539352-ojaretejk1s95sdvkic0te923pt7knpu.apps.googleusercontent.com&scope=https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fdrive%20https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fdrive.install&response_type=none%20gsession&access_type=offline&redirect_uri=storagerelay%3A%2F%2Fhttps%2Faistudio.google.com%3Fid%3Dauth12354&login_hint=111711251173718751488&service=lso&o2v=1&ddm=0,1,0,link
